0 177
620 49
1249 237
1889 71
2535 113
3171 163
3850 43
4515 43
5213 40
5956 17
6767 53
7672 8
8691 369
9777 20
10827 18
11886 5
13137 14
14221 83
15683 6
10357 39 5
6333 48 6
9113 48 7
9734 48 7
11657 32 5
10067 48 8
13769 39 8
1888 48 9
4158 48 10
4117 39 9
4133 39 12
6009 38 5
5987 48 9
6572 488 7
5957 48 15
6718 65 5
7191 32 5
7109 41 12
8477 32 6
8029 1991 10
7534 32 6
8919 39 24
1137 48 20
5807 3529 5
8003 32 7
10527 488 5
9395 48 25
8241 41 9
9649 48 17
10228 2115 5
7912 38 8
14171 179 6
3045 38 6
6107 32 8
4249 48 33
5171 1435 5
656 48 34
2531 89 5
1827 6602 8
1881 4141 15
3526 41 9
1722 48 34
1220 1219 5
1119 45 5
957 1986 6
676 41 14
9859 89 8
5243 225 5
5144 89 5
5378 39 35
882 101 6
4129 38 5
5304 259 6
5143 32 17
5973 48 40
131 41 13
10629 38 10
410 6520 6
2140 8074 5
1028 179 5
13074 237 5
4001 225 6
3875 170 5
4540 32 20
7262 533 6
10967 65 8
8074 270 5
12842 5358 6
6358 38 13
1156 398 5
1665 65 9
1336 170 5
1470 32 12
3783 930 6
2094 65 5
12858 32 22
5778 48 52
5172 1004 5
86 1198 5
2926 4524 7
1423 48 51
754 38 12
508 79 6
70 249 5
1468 89 5
4435 2771 5
7429 36 6
5150 413 7
1826 677 5
3320 9 9
10125 32 27
980 589 7
1320 41 19
280 865 6
2271 418 9
1846 147 5
5408 185 10
9010 89 6
5603 264 5
3533 310 5
2851 11 9
879 16010 5
2593 65 13
1191 176 6
1371 1327 6
1795 38 22
3596 48 71
838 1538 6
714 1537 9
1455 4546 6
2837 475 9
3136 110 5
1053 208 6
6343 79 7
435 2199 5
4911 615 8
6508 772 5
833 41 34
2786 533 8
2674 2329 5
26 237 7
919 549 6
729 60 6
1094 170 8
637 255 5
4278 49 5
2760 1143 8
6 3840 5
699 698 7
1613 89 10
15033 338 5
899 1578 5
1054 31 16
2299 249 5
4546 32 40
1368 1486 5
3420 270 5
4340 45 6
1130 225 7
2820 812 6
12491 2842 7
444 310 10
1178 1043 5
1736 1629 6
4113 39 98
368 424 5
4859 101 16
13556 878 5
2861 956 10
621 1046 5
207 170 5
966 2215 9
973 3012 6
5651 32 37
573 49 8
3467 110 5
3202 589 9
1642 8978 7
10493 1897 5
5108 413 7
22 2633 9
243 237 9
566 757 6
2469 225 6
2351 32 55
3412 727 6
2537 79 9
1342 9 7
1161 675 12
8730 789 7
10611 812 5
1459 878 6
4201 62 5
583 49 5
2599 147 6
171 812 6
2113 12929 5
406 264 9
2706 41 33
10074 13041 7
3221 1489 10
282 2375 5
4630 32 53
1085 79 5
1476 249 17
392 110 6
1784 408 5
2528 14098 31
1594 772 6
69 272 5
767 2241 6
2815 2212 5
1804 703 5
2406 65 23
10568 170 8
167 60 10
2225 175 5
489 475 5
550 340 6
587 1135 5
344 2775 5
308 544 7
1629 1435 5
1938 1027 5
1903 271 6
12473 2775 5
10605 23 9
1232 9 8
805 1417 11
128 13443 5
1294 10442 8
764 271 11
1280 39 169
2965 319 7
82 623 5
2388 1393 6
938 885 7
2164 12925 15
543 2383 12
2440 793 9
1281 41 41
2375 432 5
2749 535 6
12981 806 7
397 956 13
1333 201 5
204 766 8
622 2238 7
2075 110 12
1209 1638 8
652 812 7
2215 10491 6
164 45 17
96 379 7
643 270 9
10525 604 6
2633 407 7
12933 675 7
2065 910 5
424 2399 12
640 571 5
734 49 9
2991 956 6
1619 772 13
390 855 5
3502 4698 6
1257 571 6
12935 60 9
2492 39 217
1052 910 5
4698 475 13
14099 798 6
248 12929 14
1557 2437 5
10653 604 8
2241 1986 11
1000 264 8
2343 413 14
830 237 18
1062 62 8
352 258 11
490 475 21
281 259 6
2135 89 33
136 208 8
10444 824 9
418 812 5
808 170 16
856 766 5
1714 38 99
571 549 8
4883 449 9
297 271 10
56 16010 7
62 13041 7
1043 677 7
1872 249 7
1067 3270 15
150 301 18
675 101 25
15618 649 10
279 340 8
105 147 17
379 533 14
464 413 60
488 15832 12
107 49 20
703 170 31
544 413 38
45 16010 7
179 438 45
548 32 280
12925 101 55
6117 48 39 6
4408 16010 39 5
6426 48 39 11
4018 41 39 6
11580 41 39 7
3103 16217 48 6
6319 48 39 7
12757 38 39 6
14997 48 39 8
4894 32 48 5
5007 38 39 5
5926 3914 1203 7
8057 2329 2437 5
8405 41 48 5
8671 41 39 8
4059 41 48 10
2772 38 39 5
3836 4849 48 5
1413 5925 39 5
7766 2164 1986 7
1836 4193 2524 8
11051 1600 956 6
5774 1659 39 5
3513 310 32 7
1933 4959 4037 5
7497 41 39 6
4541 2876 39 6
3460 41 48 5
3993 2843 32 12
15497 2184 39 5
1869 2797 39 7
11523 432 48 5
6089 108 259 5
5171 32 39 5
5914 32 39 8
9076 768 39 5
3489 37 38 11
15258 425 39 5
5175 871 39 6
2943 38 39 8
2209 36 48 6
5138 4595 101 10
523 1653 270 5
4025 255 39 5
2196 2480 39 5
6273 41 39 7
6364 1043 32 6
957 65 39 5
4819 48 39 22
3614 48 39 29
9032 41 38 7
3133 3690 39 15
540 38 39 8
6161 3102 48 6
1959 32 39 6
1229 170 38 5
3778 32 39 10
4854 1865 38 5
1761 1764 571 5
2604 32 48 6
752 38 48 11
6517 5472 41 5
5156 899 2519 5
3529 3445 438 5
10753 89 48 6
5505 11718 1052 5
5062 65 48 5
3369 3724 549 7
512 1814 39 5
4382 78 48 6
2023 413 48 8
3007 621 48 6
2251 41 48 9
5666 237 48 10
3062 829 2115 5
2608 36 38 5
11060 32 38 5
5884 41 48 8
940 310 48 5
13008 55 38 5
7062 1971 64 5
2697 2117 48 6
6581 65 39 5
10635 41 39 10
3046 1107 1043 22
1515 5358 39 5
5350 555 48 5
1880 1591 38 9
298 10598 39 5
367 368 38 5
9569 38 48 6
5686 41 38 6
6276 1012 48 7
2687 41 32 7
7396 38 48 17
4285 576 76 6
2540 592 39 7
452 38 48 8
1251 789 39 6
4060 101 39 5
680 2039 48 6
6317 170 38 5
797 7988 1385 11
335 1048 1001 6
3678 10515 48 7
2733 1415 48 5
1468 41 39 14
741 475 39 8
7540 3877 32 14
2910 48 39 27
481 4731 399 5
4655 438 39 6
2649 237 48 10
2380 1543 39 6
1073 4209 10446 11
857 147 48 7
526 225 39 7
687 1417 1600 5
4588 41 39 17
1847 1146 32 5
10681 1855 48 6
10606 279 123 6
226 2907 488 5
859 896 48 5
2931 2186 589 6
10540 170 48 7
3923 49 48 7
728 549 101 6
4146 41 38 9
2430 38 39 17
1083 1379 39 7
554 1249 11 5
719 1473 310 6
10804 1395 150 5
4973 623 48 12
832 170 39 5
5080 270 48 5
2281 6082 48 5
401 2988 39 5
799 1003 39 6
720 2363 1012 5
4764 237 39 5
2982 225 39 8
1297 89 32 7
1455 19 39 5
815 41 48 12
4557 1842 39 7
3136 622 48 8
3499 65 38 5
2033 338 48 7
1855 89 39 9
435 201 48 8
3174 1578 475 5
762 89 39 7
348 170 39 6
266 286 38 6
1971 677 32 7
2559 604 48 6
61 740 604 9
2818 225 48 9
4141 255 48 11
4731 1378 1121 5
1311 475 48 6
691 1987 48 6
2598 248 48 6
905 255 32 5
4057 36 39 7
1124 65 39 7
3573 48 39 55
1165 4357 623 6
2569 41 48 25
1536 255 48 7
458 824 48 5
699 696 32 30
3345 36 38 6
102 249 48 7
696 165 684 7
